#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
X	88366120	88371288	PGSPRETT00000006864	PGALLT00000096577	-	PgeneID:ENSMUST00000118940.1	ParentID:ENSMUST00000039447	LEVEL_1	DUP	[[88366120,  88366248],  [88367598,  88367817],  [88368102,  88368433],  [88370605, 88371288]]
9	38584928	38585595	PGSPRETT00000004626	PGALLT00000091425	+	PgeneID:ENSMUST00000198801.1	ParentID:ENSMUST00000074267	LEVEL_1	PSSD	[[38584928, 38585595]]
9	74152460	74152933	PGSPRETT00000009080	PGALLT00000089187	-	PgeneID:ENSMUST00000183844.1	ParentID:ENSMUST00000107911	LEVEL_1	PSSD	[[74152460, 74152933]]
17	90169587	90171134	PGSPRETT00000011345	PGALLT00000094337	-	PgeneID:ENSMUST00000173765.1	ParentID:ENSMUST00000076155	LEVEL_1	PSSD	[[90169587, 90171134]]
10	119516933	119517867	PGSPRETT00000002542	PGALLT00000095579	+	PgeneID:ENSMUST00000182929.1	ParentID:ENSMUST00000073605	LEVEL_1	PSSD	[[119516933, 119517867]]
2	2179711	2181044	PGSPRETT00000007275	PGALLT00000096415	-	PgeneID:ENSMUST00000206996.1	ParentID:ENSMUST00000115231	LEVEL_1	PSSD	[[2179711, 2181044]]
2	2202988	2203809	PGSPRETT00000000393	PGALLT00000092664	+	PgeneID:ENSMUST00000119322.1	ParentID:ENSMUST00000016463	LEVEL_1	PSSD	[[2202988, 2203809]]
13	20589406	20590450	PGSPRETT00000004027	PGALLT00000088689	-	PgeneID:ENSMUST00000118346.1	ParentID:ENSMUST00000114503	LEVEL_1	transcribed_PSSD	[[20589406, 20590450]]
1	119218380	119218698	PGSPRETT00000010090	PGALLT00000087226	+	PgeneID:ENSMUST00000190981.1	ParentID:NA	LEVEL_2	PSSD	[[119218380, 119218698]]
X	61227195	61229817	PGSPRETT00000001186	PGALLT00000096123	+	PgeneID:ENSMUST00000121113.1	ParentID:jg12431.t1	LEVEL_1	PSSD	[[61227195, 61229817]]
2	107089310	107089503	PGSPRETT00000002440	PGALLT00000096983	-	PgeneID:ENSMUST00000120945.1	ParentID:ENSMUST00000028533	LEVEL_1	DUP	[[107089310, 107089503]]
