Mm_chr	Mm_start	Mm_end	Mm_strand	Hs_chr	Hs_start	Hs_end	Hs_strand
10	22063244	22065595	+	1	236273360	236275670	+
10	62164943	62165344	+	7	27087787	27088247	+
10	85417704	85417884	+	8	103166777	103166953	+
10	92005152	92006415	-	5	14797233	14798509	-
1	11239640	11239913	+	8	69089002	69089456	+
1	114047588	114048330	+	3	42018499	42019526	+
1	144989925	144991183	-	3	185135282	185136566	-
1	146800057	146801389	+	2	104110698	104112300	+
11	52218825	52218982	+	1	179106898	179107069	+
1	177850515	177851820	+	1	242121038	242122359	+
1	180196334	180197234	+	1	111866454	111866699	+
11	93512372	93513280	+	11	101464750	101465665	+
1	193614864	193615193	-	12	132611005	132611309	-
11	97830105	97830546	+	14	52584319	52584713	+
12	107697438	107697709	+	2	26217662	26217950	+
1	24619613	24619958	-	9	104555735	104555975	-
1	24620027	24620810	-	9	85042165	85042940	-
12	75806232	75806632	-	14	62981592	62981841	-
12	84961633	84962018	-	22	31917184	31917578	-
12	95297169	95297846	-	2	207551240	207552086	-
13	118246642	118247882	-	3	141189475	141190744	-
13	19912646	19913523	+	2	124519746	124520647	+
13	34190859	34190961	+	8	96416029	96416122	+
13	50040467	50040704	-	12	112438542	112438789	-
13	64610795	64612404	+	1	79214757	79216344	+
13	84306057	84306278	+	17	47872704	47873031	+
13	89716762	89718018	-	X	131264118	131265380	-
14	101971743	101972233	-	14	62298631	62299087	-
14	10718540	10719145	+	1	93396901	93397643	+
14	118774484	118775418	-	7	102729110	102730057	-
1	44520760	44521076	-	4	77880012	77880322	-
14	57406356	57406757	-	3	138608096	138608799	-
14	63643966	63644548	-	13	99262545	99263130	-
14	79365758	79366375	-	4	57186874	57187497	-
15	41862852	41864288	-	4	175844963	175845189	-
15	44712973	44715850	+	8	110790140	110794517	+
15	7925072	7925662	+	4	179207848	179208439	+
15	88810448	88810846	-	X	82814837	82815320	-
15	92919660	92920353	+	12	42305057	42306014	+
16	13867688	13868189	-	1	145139024	145139569	-
16	15451987	15452855	+	3	155705092	155705965	+
16	65793614	65794583	+	3	186490377	186491265	+
17	13155633	13156056	+	X	53852384	53852807	+
17	16806122	16807151	-	4	161442980	161443463	-
17	22105456	22105718	-	2	42907227	42907419	-
17	36362944	36363216	+	9	126521498	126522054	+
17	37301291	37301778	-	1	156268563	156268980	-
17	53841647	53842297	-	12	4744514	4745306	-
17	65745077	65745632	-	11	93731808	93732384	-
17	74837627	74837976	-	10	34777510	34777806	-
17	79151549	79152055	+	4	57938848	57939298	+
1	78779710	78781434	-	10	21913520	21915215	-
18	24103459	24104049	+	X	150161973	150162564	+
18	57276383	57276935	-	X	12862983	12863549	-
19	37858755	37860074	+	3	68684855	68686175	+
2	10815337	10816147	+	1	45424228	45425067	+
2	150759268	150759622	+	22	24348439	24348799	+
2	15307360	15308161	+	5	98169085	98169415	+
2	19887596	19889024	-	X	150394700	150396187	-
2	20156674	20157700	-	4	164186726	164187735	-
2	3603633	3604699	+	3	119747586	119748715	+
2	44643784	44646471	+	12	89893869	89896447	+
2	51087506	51088330	+	5	172402513	172403377	+
2	53555157	53555892	-	20	4716314	4717319	-
2	75140152	75141282	-	2	177669714	177671065	-
2	94118203	94118524	+	X	146882522	146882820	+
3	125980920	125982176	+	12	32106822	32108202	+
3	140502059	140502601	-	3	181584138	181584942	-
3	157072980	157073747	+	7	152446163	152446820	+
3	27207272	27207597	-	1	68515042	68515428	-
3	37498348	37498994	-	15	35413773	35414285	-
3	59235467	59237267	+	2	92065994	92068221	+
3	67411127	67411705	-	1	28013159	28013980	-
3	86864046	86864355	+	2	170646602	170647395	+
3	99304472	99305302	+	X	109880066	109880900	+
4	107360732	107361314	+	12	115025998	115026607	+
4	107432632	107433067	-	11	86969892	86970301	-
4	108606180	108606425	-	8	26693333	26693817	-
4	119191733	119192687	-	4	182826942	182827620	-
4	34405138	34405427	+	12	7139411	7139702	+
4	52667936	52668368	-	9	107090606	107091470	-
4	5997047	5997774	+	10	53079585	53080414	+
4	75097648	75098104	+	14	39680984	39681353	+
5	32722372	32723342	+	3	98501031	98502037	+
5	93819630	93822069	-	8	39167427	39167962	-
6	128926886	128927990	-	11	113691579	113692607	-
6	22683738	22684495	+	12	76509490	76509880	+
6	37491412	37491988	+	5	42917515	42918086	+
6	43323803	43325548	+	4	155476359	155477137	+
6	85026185	85026710	+	11	73163064	73163389	+
6	85671911	85701376	+	2	73898156	73912212	+
6	90855812	90856444	+	7	139992551	139993139	+
6	94672170	94672566	+	7	2875254	2875656	+
7	103061281	103061896	-	9	127730575	127731137	-
7	107728780	107729130	+	10	70392127	70392484	+
7	110147481	110153687	-	11	4958600	4959524	-
7	143848891	143849753	+	4	13978789	13979652	+
7	26204176	26204845	-	X	63917757	63918427	-
7	52580334	52581013	+	12	63359104	63359749	+
7	57854706	57855702	+	11	21305324	21306501	+
7	65134178	65136596	-	15	32057945	32060404	-
7	88306281	88306629	-	3	135678116	135678432	-
8	15437864	15438195	+	12	91587490	91587696	+
8	15877659	15878209	+	1	203923767	203924908	+
8	35370341	35370741	-	5	95308744	95309150	-
8	3994625	3997506	+	7	56355922	56359118	+
8	5079293	5080993	+	5	25909611	25911343	+
8	75054931	75055105	+	X	73393724	73393901	+
8	81009935	81010310	-	5	115387613	115387986	-
8	83721528	83722253	-	5	82575739	82576463	-
9	108062626	108063136	+	7	64043110	64043585	+
9	120155761	120156219	+	12	102357678	102358118	+
9	31451354	31452242	+	1	167488772	167489823	+
9	43491133	43492026	+	20	46488531	46489416	+
9	63290975	63291882	-	2	194141392	194142339	-
9	95522411	95522836	-	11	123006630	123007084	-
X	100958362	100958806	-	1	94386821	94387282	-
X	102677436	102678039	+	5	104435173	104435799	+
X	135651063	135652047	+	X	105314471	105317190	+
X	146656908	146657879	-	X	67011796	67012737	-
X	14688008	14688506	-	X	42636721	42637330	-
X	159332689	159333086	-	9	16775575	16775855	-
X	20938065	20940147	+	8	138708966	138710710	+
X	5561889	5562136	+	1	168184642	168184890	+
X	5648339	5648930	+	8	11113528	11114111	+
X	57801214	57802021	+	X	139173901	139174720	+
X	79066814	79068069	-	14	22053415	22054745	-
X	92020314	92021020	-	2	7876568	7877226	-
X	92516655	92517162	-	3	37831411	37831936	-
