#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
5	118802207	118804379	PGPAHARIT00000009015	PGALLT00000093992	+	PgeneID:ENSMUST00000180655.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[118802207,  118802800],  [118803725, 118804379]]
10	69137910	69138699	PGPAHARIT00000010624	PGALLT00000089187	-	PgeneID:ENSMUST00000183844.1	ParentID:ENSMUST00000107910	LEVEL_1	PSSD	[[69137910, 69138699]]
6	68162151	68162734	PGPAHARIT00000008978	PGALLT00000088432	-	PgeneID:ENSMUST00000120207.1	ParentID:NA	LEVEL_2	PSSD	[[68162151, 68162734]]
4	115580457	115582782	PGPAHARIT00000007720	PGALLT00000088965	-	PgeneID:ENSMUST00000196541.1	ParentID:ENSMUST00000138502	LEVEL_1	transcribed_DUP	[[115580457,  115580465],  [115581543,  115581739],  [115582639, 115582782]]
16	2612922	2617650	PGPAHARIT00000003905	PGALLT00000092664	+	PgeneID:ENSMUST00000119322.1	ParentID:ENSMUST00000016463	LEVEL_1	PSSD	[[2612922,  2613413],  [2613765,  2613993],  [2617554, 2617650]]
X	57255523	57255855	PGPAHARIT00000001842	PGALLT00000089597	-	PgeneID:ENSMUST00000119169.1	ParentID:ENSMUST00000075453	LEVEL_1	PSSD	[[57255523, 57255855]]
5	93706280	93706598	PGPAHARIT00000007626	PGALLT00000087226	+	PgeneID:ENSMUST00000190981.1	ParentID:ENSMUST00000079496	LEVEL_1	PSSD	[[93706280, 93706598]]
2	100808108	100810693	PGPAHARIT00000007807	PGALLT00000096123	-	PgeneID:ENSMUST00000121113.1	ParentID:ENSMUST00000059580	LEVEL_1	PSSD	[[100808108, 100810693]]
3	91223597	91223931	PGPAHARIT00000001973	PGALLT00000096983	-	PgeneID:ENSMUST00000120945.1	ParentID:ENSMUST00000028533	LEVEL_1	DUP	[[91223597,  91223729],  [91223871, 91223931]]
X	189498	190016	PGPAHARIT00000004616	PGALLT00000089328	+	PgeneID:ENSMUST00000119984.1	ParentID:ENSMUST00000204978	LEVEL_1	PSSD	[[189498, 190016]]
5	113156180	113156996	PGPAHARIT00000009077	PGALLT00000096020	-	PgeneID:ENSMUST00000194152.1	ParentID:ENSMUST00000004134	LEVEL_1	PSSD	[[113156180,  113156229],  [113156410, 113156996]]
4	140041811	140041978	PGPAHARIT00000006661	PGALLT00000087900	-	PgeneID:ENSMUST00000162856.1	ParentID:NA	LEVEL_2	PSSD	[[140041811, 140041978]]
scaffold_12088	21329	21867	PGPAHARIT00000000299	PGALLT00000096041	+	PgeneID:ENSMUST00000172625.1	ParentID:NA	LEVEL_2	PSSD	[[21329, 21867]]
6	27832085	27833761	PGPAHARIT00000007139	PGALLT00000091323	+	PgeneID:ENSMUST00000121596.1	ParentID:ENSMUST00000042235	LEVEL_1	PSSD	[[27832085, 27833761]]
22	40958781	40959322	PGPAHARIT00000007339	PGALLT00000087307	-	PgeneID:ENSMUST00000121908.1	ParentID:ENSMUST00000102844	LEVEL_1	PSSD	[[40958781, 40959322]]
6	37201622	37202129	PGPAHARIT00000011246	PGALLT00000096257	-	PgeneID:ENSMUST00000119153.1	ParentID:ENSMUST00000111343	LEVEL_1	PSSD	[[37201622, 37202129]]
18	35877491	35878497	PGPAHARIT00000010262	PGALLT00000085007	+	PgeneID:ENSMUST00000116165.2	ParentID:NA	LEVEL_2	PSSD	[[35877491,  35878424],  [35878456, 35878497]]
13	65206737	65207683	PGPAHARIT00000007352	PGALLT00000092811	+	PgeneID:ENSMUST00000202480.1	ParentID:ENSMUST00000109354	LEVEL_1	PSSD	[[65206737,  65207268],  [65207308,  65207476],  [65207517, 65207683]]
14	52891333	52891780	PGPAHARIT00000004062	PGALLT00000087355	+	PgeneID:ENSMUST00000206972.1	ParentID:NA	LEVEL_2	pseudogene	[[52891333, 52891780]]
2	60642112	60642682	PGPAHARIT00000005912	PGALLT00000090066	-	PgeneID:ENSMUST00000193013.1	ParentID:ENSMUST00000051477	LEVEL_1	PSSD	[[60642112, 60642682]]
8	56929423	56930764	PGPAHARIT00000002632	PGALLT00000088334	-	PgeneID:ENSMUST00000121999.1	ParentID:ENSMUST00000007708	LEVEL_1	PSSD	[[56929423, 56930764]]
5	2593076	2594295	PGPAHARIT00000007131	PGALLT00000096817	+	PgeneID:ENSMUST00000185639.1	ParentID:NA	LEVEL_2	PSSD	[[2593076,  2593765],  [2594110, 2594295]]
X	110389197	110390222	PGPAHARIT00000005407	PGALLT00000095121	+	PgeneID:ENSMUST00000206115.1	ParentID:ENSMUST00000095786	LEVEL_1	PSSD	[[110389197, 110390222]]
X	39889448	39889800	PGPAHARIT00000000742	PGALLT00000089832	+	PgeneID:ENSMUST00000120043.1	ParentID:ENSMUST00000169681	LEVEL_1	PSSD	[[39889448, 39889800]]
2	57221356	57222832	PGPAHARIT00000003086	PGALLT00000093698	-	PgeneID:ENSMUST00000201745.1	ParentID:ENSMUST00000029938	LEVEL_1	PSSD	[[57221356, 57222832]]
10	114092312	114092634	PGPAHARIT00000001180	PGALLT00000094986	+	PgeneID:ENSMUST00000172397.1	ParentID:NA	LEVEL_2	PSSD	[[114092312, 114092634]]
6	31215788	31217080	PGPAHARIT00000006222	PGALLT00000091710	+	PgeneID:ENSMUST00000119326.1	ParentID:ENSMUST00000038406	LEVEL_1	PSSD	[[31215788,  31216081],  [31216535, 31217080]]
21	19367484	19374169	PGPAHARIT00000008844	PGALLT00000087927	+	PgeneID:ENSMUST00000178598.2	ParentID:NA	LEVEL_2	PSSD	[[19367484,  19367640],  [19369145,  19369331],  [19370735,  19370829],  [19371178,  19371338],  [19373383,  19373524],  [19374076, 19374169]]
X	140899963	140907135	PGPAHARIT00000000936	PGALLT00000093514	-	PgeneID:ENSMUST00000055593.8	ParentID:ENSMUST00000046425	LEVEL_1	PSSD	[[140899963,  140900085],  [140907013, 140907135]]
5	107795820	107796671	PGPAHARIT00000000021	PGALLT00000088630	+	PgeneID:ENSMUST00000188004.1	ParentID:ENSMUST00000102898	LEVEL_1	PSSD	[[107795820, 107796671]]
13	1598117	1599088	PGPAHARIT00000002362	PGALLT00000088562	+	PgeneID:ENSMUST00000119263.1	ParentID:ENSMUST00000042405	LEVEL_1	PSSD	[[1598117, 1599088]]
1	21320991	21321967	PGPAHARIT00000000267	PGALLT00000091400	+	PgeneID:ENSMUST00000188739.1	ParentID:ENSMUST00000052730	LEVEL_1	DUP	[[21320991, 21321967]]
scaffold_14170	3246	5349	PGPAHARIT00000007235	PGALLT00000092818	+	PgeneID:ENSMUST00000197368.1	ParentID:NA	LEVEL_2	DUP	[[3246,  3356],  [5298, 5349]]
13	24396703	24397585	PGPAHARIT00000004924	PGALLT00000089036	-	PgeneID:ENSMUST00000121125.1	ParentID:ENSMUST00000079716	LEVEL_1	PSSD	[[24396703,  24396798],  [24397191, 24397585]]
5	15142198	15143964	PGPAHARIT00000009335	PGALLT00000094929	-	PgeneID:ENSMUST00000194705.1	ParentID:NA	LEVEL_2	PSSD	[[15142198,  15142308],  [15142424,  15142555],  [15143534,  15143622],  [15143713,  15143815],  [15143896, 15143964]]
10	78275616	78276898	PGPAHARIT00000002939	PGALLT00000094476	-	PgeneID:ENSMUST00000185454.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[78275616, 78276898]]
9	10056482	10057734	PGPAHARIT00000010832	PGALLT00000093666	+	PgeneID:ENSMUST00000182071.1	ParentID:ENSMUST00000118875	LEVEL_1	PSSD	[[10056482, 10057734]]
5	45691232	45693643	PGPAHARIT00000006473	PGALLT00000089948	+	PgeneID:ENSMUST00000118992.1	ParentID:ENSMUST00000127861	LEVEL_1	PSSD	[[45691232,  45691786],  [45691963,  45692236],  [45693228, 45693643]]
3	70939200	70940144	PGPAHARIT00000011351	PGALLT00000090496	+	PgeneID:ENSMUST00000121340.1	ParentID:ENSMUST00000052307	LEVEL_1	DUP	[[70939200, 70940144]]
5	127304186	127304796	PGPAHARIT00000010034	PGALLT00000096594	-	PgeneID:ENSMUST00000185981.1	ParentID:ENSMUST00000010536	LEVEL_1	PSSD	[[127304186, 127304796]]
6	6499068	6502101	PGPAHARIT00000008787	PGALLT00000096252	-	PgeneID:ENSMUST00000119476.1	ParentID:ENSMUST00000032969	LEVEL_1	PSSD	[[6499068, 6502101]]
10	83801940	83802841	PGPAHARIT00000011188	PGALLT00000095495	+	PgeneID:ENSMUST00000190444.1	ParentID:ENSMUST00000036004	LEVEL_1	PSSD	[[83801940,  83802376],  [83802810, 83802841]]
3	13161489	13162469	PGPAHARIT00000000789	PGALLT00000095187	-	PgeneID:ENSMUST00000118484.1	ParentID:ENSMUST00000021090	LEVEL_1	PSSD	[[13161489, 13162469]]
X	92140311	92153539	PGPAHARIT00000001172	PGALLT00000085319	-	PgeneID:ENSMUST00000120795.1	ParentID:NA	LEVEL_2	DUP	[[92140311,  92140373],  [92140413,  92140610],  [92153475, 92153539]]
2	102118169	102119208	PGPAHARIT00000008759	PGALLT00000096333	+	PgeneID:ENSMUST00000203740.1	ParentID:ENSMUST00000165286	LEVEL_1	PSSD	[[102118169, 102119208]]
