#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
CHR_MG3172_PATCH	141743566	141743680	-	ENSMUSP00000122084.1	0.14	1	0	1	1	2e-05	0.684	0	FRAG
CHR_MG117_PATCH	108790698	108790790	-	ENSMUSP00000105567.1	0.91	0	0	0	0	2e-06	0.742	0	FRAG
CHR_MG117_PATCH	108805065	108805175	-	ENSMUSP00000082175.3	0.54	1	0	0	0	5e-09	0.838	0	FRAG
CHR_MG117_PATCH	108847929	108848109	-	ENSMUSP00000082978.3	0.48	1	0	1	1	3e-13	0.750	0	FRAG
CHR_MG117_PATCH	108862642	108862801	-	ENSMUSP00000082978.3	0.43	1	1	1	0	6e-10	0.741	0	FRAG
CHR_MG117_PATCH	108868416	108868514	-	ENSMUSP00000105567.1	0.97	0	0	0	1	2e-09	0.848	0	FRAG
CHR_MG117_PATCH	108870038	108870221	-	ENSMUSP00000082978.3	0.50	2	3	1	0	3e-13	0.719	0	FRAG
CHR_MG117_PATCH	108870492	108870670	-	ENSMUSP00000082978.3	0.48	1	0	1	1	3e-13	0.783	0	FRAG
CHR_MG117_PATCH	108879326	108879454	-	ENSMUSP00000073455.5	0.18	0	0	0	0	4e-17	0.930	0	FRAG
CHR_MG117_PATCH	108881276	108881383	-	ENSMUSP00000114048.1	0.49	0	0	0	0	3e-09	0.806	3	FRAG
CHR_MG117_PATCH	108881531	108881629	-	ENSMUSP00000122084.1	0.12	0	0	0	0	4e-09	0.848	0	FRAG
CHR_MG117_PATCH	108884037	108884162	-	ENSMUSP00000114048.1	0.58	0	0	0	0	2e-13	0.833	3	FRAG
CHR_MG117_PATCH	108885126	108885282	-	ENSMUSP00000082978.3	0.41	1	0	1	1	2e-12	0.731	3	FRAG
CHR_MG117_PATCH	108887513	108887599	-	ENSMUSP00000082175.3	0.43	0	0	0	1	8e-07	0.828	2	FRAG
CHR_MG117_PATCH	108889631	108889781	-	ENSMUSP00000114278.1	0.36	1	0	1	0	2e-14	0.820	0	FRAG
CHR_MG117_PATCH	108892149	108892271	-	ENSMUSP00000114048.1	0.56	0	0	0	0	1e-10	0.805	3	FRAG
CHR_MG117_PATCH	108892308	108892475	-	ENSMUSP00000116236.1	0.31	4	0	0	1	7e-09	0.571	0	FRAG
CHR_MG117_PATCH	108893407	108893582	-	ENSMUSP00000082978.3	0.46	2	0	2	2	9e-13	0.724	0	FRAG
CHR_MG117_PATCH	108902592	108902702	-	ENSMUSP00000082175.3	0.54	1	0	0	2	1e-08	0.806	0	FRAG
CHR_MG117_PATCH	108903760	108903888	-	ENSMUSP00000114048.1	0.59	0	0	0	0	3e-11	0.744	3	FRAG
CHR_MG190_MG3751_PATCH	70676864	70676965	-	ENSMUSP00000105567.1	1.00	0	0	0	1	2e-12	0.912	0	PSSD
CHR_MG190_MG3751_PATCH	70680569	70734649	-	ENSMUSP00000073455.5	0.18	2	0	2	0	2e-17	0.84	0	DUP
CHR_MG190_MG3751_PATCH	70685686	70685793	-	ENSMUSP00000082175.3	0.52	1	0	0	1	2e-08	0.800	0	FRAG
CHR_MG190_MG3751_PATCH	70686982	70687203	-	ENSMUSP00000082978.3	0.56	3	0	0	1	1e-13	0.689	0	FRAG
CHR_MG190_MG3751_PATCH	70689024	70689125	-	ENSMUSP00000105567.1	1.00	0	0	0	1	5e-13	0.912	0	PSSD
CHR_MG190_MG3751_PATCH	70690583	70690693	-	ENSMUSP00000082175.3	0.54	1	0	0	1	2e-07	0.722	0	FRAG
