#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
2	56520066	56520955	PGCAROLIT00000005876	PGALLT00000091090	-	PgeneID:ENSMUST00000119435.1	ParentID:jg2134.t1	LEVEL_1	PSSD	[[56520066,  56520352],  [56520548,  56520738],  [56520857, 56520955]]
1	136337944	136339015	PGCAROLIT00000003084	PGALLT00000093992	+	PgeneID:ENSMUST00000180655.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[136337944, 136339015]]
9	71411988	71412801	PGCAROLIT00000009764	PGALLT00000089187	-	PgeneID:ENSMUST00000183844.1	ParentID:ENSMUST00000107910	LEVEL_1	PSSD	[[71411988, 71412801]]
4	107463035	107463674	PGCAROLIT00000009362	PGALLT00000088432	-	PgeneID:ENSMUST00000120207.1	ParentID:ENSMUST00000026993	LEVEL_1	PSSD	[[107463035, 107463674]]
10	111541121	111542057	PGCAROLIT00000005112	PGALLT00000095579	+	PgeneID:ENSMUST00000182929.1	ParentID:ENSMUST00000182634	LEVEL_1	PSSD	[[111541121, 111542057]]
7	106466459	106467412	PGCAROLIT00000010644	PGALLT00000090357	+	PgeneID:ENSMUST00000119267.1	ParentID:ENSMUST00000106862	LEVEL_1	DUP	[[106466459, 106467412]]
2	1998912	1999737	PGCAROLIT00000008059	PGALLT00000092664	+	PgeneID:ENSMUST00000119322.1	ParentID:ENSMUST00000016463	LEVEL_1	PSSD	[[1998912, 1999737]]
X	62946160	62946474	PGCAROLIT00000000991	PGALLT00000089597	-	PgeneID:ENSMUST00000119169.1	ParentID:ENSMUST00000075453	LEVEL_1	PSSD	[[62946160, 62946474]]
1	110853137	110853455	PGCAROLIT00000008724	PGALLT00000087226	+	PgeneID:ENSMUST00000190981.1	ParentID:NA	LEVEL_2	PSSD	[[110853137, 110853455]]
1	25649122	25650245	PGCAROLIT00000000532	PGALLT00000094369	+	PgeneID:ENSMUST00000178167.2	ParentID:ENSMUST00000026125	LEVEL_1	PSSD	[[25649122, 25650245]]
13	59847077	59849234	PGCAROLIT00000004194	PGALLT00000092256	+	PgeneID:ENSMUST00000177721.1	ParentID:ENSMUST00000021428	LEVEL_1	PSSD	[[59847077, 59849234]]
9	37355780	37356319	PGCAROLIT00000004133	PGALLT00000091425	+	PgeneID:ENSMUST00000198801.1	ParentID:ENSMUST00000074267	LEVEL_1	PSSD	[[37355780, 37356319]]
X	100653731	100654277	PGCAROLIT00000009846	PGALLT00000093085	-	PgeneID:ENSMUST00000117308.1	ParentID:ENSMUST00000102483	LEVEL_1	PSSD	[[100653731, 100654277]]
